,Date,Time,Location,Sub-location,Source,Notes,Longitude,Latitude,Postal,Area
117,2021-05-20,1150h - 1225h,Prime Supermarket (373 Bukit Batok Street 31),,https://www.channelnewsasia.com/news/singapore/covid-19-locations-sim-lim-square-ikea-jurong-library-14872628,Added/ Updated on 2021-05-24,103.750397174291,1.3589245711817801,650373,Tengah
118,2021-05-20,1150h - 1225h,Prime Supermarket (373 Bukit Batok Street 31),,https://www.channelnewsasia.com/news/singapore/covid-19-locations-sim-lim-square-ikea-jurong-library-14872628,Added/ Updated on 2021-05-24,103.750397174291,1.3589245711817801,650373,Tengah
119,2021-05-20,1340h - 1510h,Kaki Bukit Recreation Centre (7 Kaki Bukit Avenue 3),POSB Account Services Centre,https://www.todayonline.com/singapore/changi-city-point-sengkang-sports-complex-among-places-visited-covid-19-cases-while,Added/ Updated on 2021-05-23,103.90663168980998,1.33729714367902,415814,Geylang
120,2021-05-20,1420h - 1520h,ION Orchard (2 Orchard Turn),FLNT at 1-ATICO,https://www.todayonline.com/singapore/westgate-lucky-plaza-and-mustafa-centre-among-places-visited-covid-19-cases-while,Added/ Updated on 2021-05-28,103.83177429663701,1.30419841973372,NIL,Orchard
121,2021-05-20,1510h - 2100h,Westgate (3 Gateway Drive) ,Pizza Hut,https://www.todayonline.com/singapore/punggol-plaza-mbs-mall-among-places-visited-covid-19-cases-while-infectious,Added/ Updated on 2021-05-25,103.742722109979,1.3342947893069599,NIL,Jurong East
122,2021-05-20,1600h - 2300h,Punggol Plaza (168 Punggol Field),,https://www.todayonline.com/singapore/punggol-plaza-mbs-mall-among-places-visited-covid-19-cases-while-infectious,Added/ Updated on 2021-05-25,103.91297643758301,1.39418409438271,820168,Punggol
123,2021-05-20,1700h - 2200h,Poke Theory (238 Thomson Road),,https://www.channelnewsasia.com/news/singapore/covid-19-locations-may-26-mcdonalds-woodlands-poke-theory-novena-14889532,Added/ Updated on 2021-05-27,103.84384043050801,1.32045851808391,NIL,Novena
124,2021-05-20,1730h - 1820h,Chinatown Point (133 New Bridge Road),,https://www.todayonline.com/singapore/chinatown-point-plq-mall-among-places-visited-covid-19-cases-while-infectious,Added/ Updated on 2021-05-29,103.84494291227399,1.28518516098542,NIL,Singapore River
125,2021-05-20,1820h - 1920h ,Rains Foot Massage (6 Hougang Avenue 3),,https://www.todayonline.com/singapore/resorts-world-sentosa-casino-supermarket-chua-chu-kang-among-places-visited-covid-19-cases,Added/ Updated on 2021-06-01,103.893980503167,1.3627144629104702,530006,Hougang
126,2021-05-19,0930h - 2130h,Holland Piazza (3 Lorong Liput),Tiger Sugar,https://www.moh.gov.sg/docs/librariesprovider5/pressroom/press-releases/annexes-(9).pdf,Added/ Updated on 2021-05-26,103.795246166084,1.31064349551562,277725,Bukit Timah
127,2021-05-19,1030h - 2000h,Westgate (3 Westgate Drive) ,Fun Toast,https://www.todayonline.com/singapore/changi-city-point-sengkang-sports-complex-among-places-visited-covid-19-cases-while,Added/ Updated on 2021-05-23,103.74287010551201,1.33428313049536,608532,Jurong East
128,2021-05-19,1320h - 1530h,NTUC FairPrice (301 Yishun Avenue 2),,https://www.channelnewsasia.com/news/singapore/fairprice-yishun-mrt-yuhua-village-market-covid-19-locations-moh-14934416,"Added/ Updated on 2021-06-03, Date is till 30 May 2021",103.83505827360202,1.42951728655036,769093,Yishun
129,2021-05-19,1420h - 1500h,Health Management Centre (809 French Road),,https://www.todayonline.com/singapore/resorts-world-sentosa-casino-supermarket-chua-chu-kang-among-places-visited-covid-19-cases,Added/ Updated on 2021-06-01,103.86205978417401,1.3083939667367,200809,Serangoon
130,2021-05-19,1420h - 1520h,Woodlands Regional Library (900 South Woodlands Drive),,https://www.moh.gov.sg/docs/librariesprovider5/pressroom/press-releases/annexes-(9).pdf,Added/ Updated on 2021-05-26,103.78685774285299,1.43518691179968,NIL,Woodlands
131,2021-05-19,1420h - 1525h,Woodlands Civic Centre (900 South Woodlands Drive),Workforce Singapore's CareerConnect,https://www.channelnewsasia.com/news/singapore/covid-19-locations-may-26-mcdonalds-woodlands-poke-theory-novena-14889532,Added/ Updated on 2021-05-27,103.78685774285299,1.43518691179968,NIL,Woodlands
132,2021-05-19,1430h - 1535h,NTUC FairPrice (301 Yishun Avenue 2),,https://www.channelnewsasia.com/news/singapore/fairprice-yishun-mrt-yuhua-village-market-covid-19-locations-moh-14934416,Added/ Updated on 2021-06-03,103.83505827360202,1.42951728655036,769093,Yishun
133,2021-05-19,1515h - 1550h,Causeway Point (1 Woodlands Square),Tonkotsu Hototogisu,https://www.channelnewsasia.com/news/singapore/covid-19-locations-may-26-mcdonalds-woodlands-poke-theory-novena-14889532,Added/ Updated on 2021-05-27,103.78600997367799,1.4360886772991202,738099,Woodlands
134,2021-05-19,1515h - 1550h,Causeway Point (1 Woodlands Square),UOB,https://www.moh.gov.sg/docs/librariesprovider5/pressroom/press-releases/annexes-(9).pdf,Added/ Updated on 2021-05-26,103.78600997367799,1.4360886772991202,738099,Woodlands
